,Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,source
40,10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,152.3512933254242,0.9770833253860474,0.0771924331784248,2010179,0.0888273492455482,0.9700000286102296,1.0,0.92592591047287,0.9892473220825196,0.9900000095367432,1.0,0.9200000166893004,Linear
41,11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,340.19480752944946,0.9791666865348816,0.0759791880846023,8038531,0.0501148514449596,0.9850000143051147,1.0,0.9569377899169922,1.0,1.0,1.0,0.9549999833106996,Linear
42,12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,196.37911748886108,0.9770833253860474,0.0803708657622337,4067011,0.0659086108207702,0.9816666841506958,0.9950248599052428,0.9523809552192688,1.0,1.0,1.0,0.9449999928474426,Linear
43,13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,85.2290506362915,0.9791666865348816,0.0839628651738166,1990403,0.0809985101222992,0.9783333539962769,1.0,0.9389671087265016,1.0,1.0,1.0,0.9350000023841858,Linear
44,14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,378.36580634117126,0.981249988079071,0.0681706666946411,7886019,0.0551609918475151,0.9816666841506958,1.0,0.9478672742843628,1.0,1.0,1.0,0.9449999928474426,Linear
45,15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,152.49545407295227,0.981249988079071,0.0645736828446388,3958019,0.0817546173930168,0.971666693687439,1.0,0.921658992767334,1.0,1.0,1.0,0.915000021457672,Linear
46,16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,79.3103654384613,0.9770833253860474,0.0742941796779632,1033219,0.1136921942234039,0.9549999833106996,1.0,0.8810572624206543,1.0,1.0,1.0,0.8650000095367432,Linear
47,17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,190.50285005569455,0.9833333492279052,0.0697255954146385,2115459,0.0923818796873092,0.9666666388511658,1.0,0.9090909361839294,1.0,1.0,1.0,0.8999999761581421,Linear
48,18,19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,269.9710385799408,0.981249988079071,0.0710585266351699,7830531,0.0687542259693145,0.975000023841858,0.9950248599052428,0.9345794320106506,1.0,1.0,1.0,0.925000011920929,Linear
49,19,20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,133.23639750480652,0.981249988079071,0.0673500150442123,3642627,0.0632263720035553,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Linear
50,20,21,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,35.48294949531555,0.981249988079071,0.0797773152589798,510915,0.0648591518402099,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Linear
51,21,22,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,77.79347014427185,0.9770833253860474,0.0767013877630233,1090947,0.0771241933107376,0.9700000286102296,1.0,0.9174311757087708,1.0,1.0,1.0,0.9100000262260436,Linear
52,22,23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,37.62711548805237,0.9791666865348816,0.07985670119524,515075,0.0581968501210212,0.9766666889190674,1.0,0.9345794320106506,1.0,1.0,1.0,0.9300000071525574,Linear
53,23,24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,30.46337056159973,0.9791666865348816,0.0723836421966552,265155,0.0773601233959198,0.9833333492279052,1.0,0.9523809552192688,1.0,1.0,1.0,0.949999988079071,Linear
54,24,25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,45.08826637268066,0.9791666865348816,0.0705773159861564,986563,0.0675517544150352,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Linear
55,25,26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,30.50755500793457,0.981249988079071,0.0762657597661018,510915,0.0694034919142723,0.975000023841858,1.0,0.9345794320106506,0.9946523904800416,0.9950000047683716,1.0,0.9300000071525574,Linear
56,26,27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,46.12500739097595,0.9791666865348816,0.0751170441508293,510915,0.0574703738093376,0.9783333539962769,1.0,0.9389671087265016,1.0,1.0,1.0,0.9350000023841858,Linear
57,27,28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,88.00343179702759,0.9770833253860474,0.0782585814595222,1140227,0.0993276983499527,0.9666666388511658,1.0,0.9090909361839294,1.0,1.0,1.0,0.8999999761581421,Linear
58,28,29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,35.52878165245056,0.9791666865348816,0.0769195556640625,506755,0.0632064044475555,0.9783333539962769,1.0,0.9516907930374146,0.984455943107605,1.0,0.9850000143051147,0.949999988079071,Linear
59,29,30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,40.15205478668213,0.9791666865348816,0.0812805220484733,674755,0.0602961592376232,0.9800000190734864,1.0,0.9433962106704712,1.0,1.0,1.0,0.9399999976158142,Linear
