model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,interpolation_method,
23,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,124.9894082546234,0.993749976158142,0.0231485683470964,515075,0.030786208808422,0.9916666746139526,1.0,0.9756097793579102,1.0,1.0,1.0,0.975000023841858,linear,
24,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,103.3542618751526,0.9958333373069764,0.0187237430363893,265155,0.0368098467588424,0.9927777647972108,0.9983360767364502,0.9803921580314636,1.0,1.0,1.0,0.9783333539962769,linear,
25,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,147.34242868423462,0.993749976158142,0.0288311187177896,986563,0.0268368758261203,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147,linear,
26,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,102.6459608078003,0.9944444298744202,0.0245535746216774,510915,0.0204309821128845,0.9944444298744202,1.0,0.9836065769195556,1.0,1.0,1.0,0.9833333492279052,linear,
27,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,188.1980719566345,0.993749976158142,0.0255074203014373,510915,0.0209010746330022,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,linear,
28,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,385.38011956214905,0.9951388835906982,0.031534556299448,1140227,0.0223467592149972,0.9938889145851136,1.0,0.9819967150688172,1.0,1.0,1.0,0.9816666841506958,linear,
29,3,"[32, 64, 128]","[5, 3, 3]","[4, 4, 2]",128,30,32,131.3687460422516,0.9951388835906982,0.0256860423833131,506755,0.022215275093913,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,linear,
30,3,"[32, 64, 128]","[7, 5, 3]","[4, 3, 2]",128,30,32,153.9355490207672,0.9944444298744202,0.0270009022206068,674755,0.0308771952986717,0.9911110997200012,1.0,0.9740259647369384,1.0,1.0,1.0,0.9733333587646484,linear,
1,1,[32],[5],[2],64,20,32,95.34196829795836,0.993749976158142,0.031814157962799,1020355,0.0385111756622791,0.9877777695655824,1.0,0.966183602809906,0.998275876045227,0.9983333349227904,1.0,0.9649999737739564,savgol,
2,1,[64],[7],[4],128,20,64,113.3042299747467,0.9951388835906982,0.0384424552321434,2032643,0.0283322092145681,0.9938889145851136,1.0,0.9819967150688172,1.0,1.0,1.0,0.9816666841506958,savgol,
3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,158.0958547592163,0.9923611283302308,0.0339314080774784,1022467,0.0532143414020538,0.9861111044883728,1.0,0.9615384340286256,0.998266875743866,0.9983333349227904,1.0,0.959999978542328,savgol,
4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,458.2701184749603,0.9930555820465088,0.0254813190549612,4088835,0.0257700532674789,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147,savgol,
5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,136.12972116470337,0.9951388835906982,0.0265317130833864,1018435,0.0264936741441488,0.9916666746139526,1.0,0.9771987199783324,0.9982964396476746,0.9983333349227904,1.0,0.9766666889190674,savgol,
6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,145.90960264205933,0.9944444298744202,0.0285496283322572,1018499,0.0312589779496192,0.9911110997200012,1.0,0.9771987199783324,0.9965986609458924,0.996666669845581,1.0,0.9766666889190674,savgol,
7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,351.51995396614075,0.9930555820465088,0.0262977257370948,2034627,0.0400134585797786,0.992222249507904,1.0,0.9803921580314636,0.996610164642334,0.996666669845581,1.0,0.9800000190734864,savgol,
8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,647.4593262672424,0.9930555820465088,0.0274874903261661,8136579,0.0277654137462377,0.9927777647972108,1.0,0.9803921580314636,0.9983022212982178,0.9983333349227904,1.0,0.9800000190734864,savgol,
9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,128.0441448688507,0.9944444298744202,0.0336108244955539,510915,0.0320005677640438,0.9961110949516296,1.0,0.9884678721427916,1.0,1.0,1.0,0.9883333444595336,savgol,
10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,111.63765335083008,0.9930555820465088,0.0321927666664123,515075,0.0408852510154247,0.9905555844306946,1.0,0.9724473357200624,1.0,1.0,1.0,0.971666693687439,savgol,
11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,435.60346698760986,0.9944444298744202,0.027954202145338,2010179,0.018849728628993,0.995555579662323,1.0,0.9868420958518982,1.0,1.0,1.0,0.9866666793823242,savgol,
12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,1003.9272909164428,0.9951388835906982,0.0258761774748563,8038531,0.0256420318037271,0.9938889145851136,1.0,0.9819967150688172,1.0,1.0,1.0,0.9816666841506958,savgol,
13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,675.9723789691925,0.9944444298744202,0.0219716168940067,4067011,0.0192923881113529,0.9944444298744202,1.0,0.9836065769195556,1.0,1.0,1.0,0.9833333492279052,savgol,
14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,294.2662835121155,0.9951388835906982,0.0290451608598232,1990403,0.0376181118190288,0.9977777600288392,1.0,0.9933775067329408,1.0,1.0,1.0,0.993333339691162,savgol,
